,Book-Title,Average-Rating,Count-Ratings,ISBN,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L,Synopsis
146,Catering to Nobody,2.23,71,044922046X,Diane Mott Davidson,1995,Fawcett Books,http://images.amazon.com/images/P/044922046X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044922046X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044922046X.01.LZZZZZZZ.jpg,"MEET THE CATERER WHO WHIPPED UP THE MULTIMILLION-COPY MYSTERY SERIES–AS GOLDY SOLVES HER FIRST MURDER!Diane Mott Davidson’s winning recipe of first-class suspense and five-star fare has won her and caterer Goldy critical raves and a regular place on major bestseller lists across the country. In Goldy’s tantalizing debut, she serves up a savory dish of secrets, suspicions, and murder....Catering a wake is not Goldy’s idea of fun. Yet the Colorado caterer throws herself into preparing a savory feast including Poached Salmon and Strawberry Shortcake Buffet designed to soothe forty mourners. And her culinary efforts seem to be exactly what the doctor ordered...until her ex-father-in-law gynecologist Fritz Korman is struck down and Goldy is accused of adding poison to the menu. Now, with the Department of Health impounding her leftovers, her ex-husband proclaiming her guilt, and her business about to be shut down, Goldy knows she can’t wait for the police to serve up the answers. She’ll soon uncover more than one family skeleton and a veritable stew of unpalatable secrets–the kind that could make Goldy the main course in an unsavory killer’s next murder! "
147,Cause Celeb,1.23,60,0670894508,Helen Fielding,2001,Viking Books,http://images.amazon.com/images/P/0670894508.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670894508.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670894508.01.LZZZZZZZ.jpg,"Available for the first time in the United States, Cause Celeb is the hilarious debut novel by British literary sensation Helen Fielding. With the same wit and candor that shot 
Bridget Jones's Diary
 and 
Bridget Jones: The Edge of Reason
 to the top of bestseller lists and forever altered the vocabulary of dating, Fielding executes a remarkable spoof on the altruistic endeavors of commoners and celebrities alike as they unite to combat the horror of famine and neglect in Africa. Populated by larger-than-life characters from London's West End and the unsung heroes toiling anonymously on the Continent, Cause Celeb is a cunning and poignant tale that discloses the romantic underpinnings of life and love in the 21st century.Rosie Richardson, a frothy young woman trapped in the cauldron of the publishing world, finds herself involved in a dysfunctional relationship with TV personality Oliver Marchant, a Teflon-coated Romeo who slips in and out of her life with greater frequency than she'd like. Disenchanted with their glamorous lifestyle, Rosie packs her bags and (quite literally) heads for the hills, embarking on a personal odyssey through the majestic deserts of Africa to the fictional state of Nambula, where each day's sunrise brings a daunting challenge. Upon arrival in the sparse refugee camp, Rosie immediately gets a sense of just how eccentric some of her new neighbors are. Muhammed, a local go-between with a flair for melodrama, the burly Irish doctor O'Rourke, and two seasoned nurses are all catalysts for the story who keep spirits alive and send emotions on a roller-coaster ride. When a carpet of locusts wreaks havoc among vestiges of the season's last crops, disease and starvation become a palpable threat that plagues the proud refugees of Nambula with fear. But stubborn government regimes turn a blind eye to the dangers facing the village, the relief workers' pleas for food and assistance are ignored, and fever and calamity run rampant, forcing Rosie to return to London and enlist the help of her former lover and the motley crew of friends they once shared. In a final, inspired act of desperation, the former publicity flak miraculously pulls off an international appeal with results that far surpass anything she had imagined. With a winning combination of pathos and humor, Fielding suggests that the real voyage of discovery is not simply in the quest for new landscapes, but in having new eyes to view them with. Ultimately, Rosie does find the peace of mind and passion she so desperately sought, and the success of her cause adds substance to her life and a depth to her character she had never suspected. Like the Bridget Jones novels, Cause Celeb is an easy, enjoyable read. But despite its seeming frivolity, the book paints an insightful and sanguine portrait of modern-day philanthropy. It's just that in the world according to Helen Fielding, even saving lives can be cause for merriment.

--Lauren Foster
"
148,Cause of Death,1.67,141,0425158616,Patricia Daniels Cornwell,1997,Berkley Publishing Group,http://images.amazon.com/images/P/0425158616.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425158616.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425158616.01.LZZZZZZZ.jpg,"It is New Year's Eve, the last day of Virginia's bloodiest year since the Civil War. Dr. Kay Scarpetta plunges into the murky depths of a ship graveyard to recover the very human remains of Ted Eddings, an investigative reporter. What kind of story was Eddings chasing below the icy surface of the Elizabeth River? And why did Scarpetta receive a phone call from someone reporting the death before the police were notified? She soon discovers that Eddings' murder is merely the first layer of something much deeper --- a labyrinthine conspiracy that will put all of her criminal and forensic knowledge to the test like never before. For Scarpetts, the real challenge won't be cataloging the growing number of dead bodies, but preventing herself and those she loves from becoming the next victims."
149,Certain Prey,2.06,78,0425174271,John Sandford,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425174271.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425174271.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425174271.01.LZZZZZZZ.jpg,"Have you met Carmel Loan?She's beautiful, intelligent, ambitious - and used to getting what she wants. When she becomes infatuated with fellow barrister Hale Allen, she isn't going to let a little thing like his being married get in the way. So, through the contacts of an ex-client, she hires professional killer Clara Rinker to get rid of his wife. Smart and attractive, Rinker is the best hitwoman in the business - but things go wrong; by an amazing coincidence there's a witness. It's the shooting of the witness, a cop, that brings Deputy Chief Lucas Davenport into the case.Loan and Rinker must work together to clean up the loose ends - which includes getting Davenport off their backs by whatever means necessary."
150,Changes,1.58,52,0440111811,Danielle Steel,1984,Dell,http://images.amazon.com/images/P/0440111811.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440111811.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440111811.01.LZZZZZZZ.jpg,"Designed for the two-semester general chemistry course, this textbook features a clear writing style, and problem-solving strategies. It strikes a balance between theory and application by incorporating real examples, and helping students visualize the three-dimensional atomic and molecular structures that are the basis of chemical activity."
151,Charlie and the Chocolate Factory,4.52,52,0375815260,ROALD DAHL,2001,Knopf Books for Young Readers,http://images.amazon.com/images/P/0375815260.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375815260.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375815260.01.LZZZZZZZ.jpg,Charlie Bucket's wonderful adventure begins when he finds one of Mr. Willy Wonka's precious Golden Tickets and wins a whole day inside the mysterious chocolate factory. Little does he know the surprises that are in store for him!(back cover)
152,Charlotte's Web (Trophy Newbery),4.19,67,0064400557,E. B. White,1974,HarperTrophy,http://images.amazon.com/images/P/0064400557.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400557.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400557.01.LZZZZZZZ.jpg,"This beloved book by E. B. White, author of Stuart Little and The Trumpet of the Swan, is a classic of children's literature that is ""just about perfect.""Some Pig. Humble. Radiant. These are the words in Charlotte's Web, high up in Zuckerman's barn. Charlotte's spiderweb tells of her feelings for a little pig named Wilbur, who simply wants a friend. They also express the love of a girl named Fern, who saved Wilbur's life when he was born the runt of his litter.E. B. White's Newbery Honor Book is a tender novel of friendship, love, life, and death that will continue to be enjoyed by generations to come. It contains illustrations by Garth Williams, the acclaimed illustrator of E.B. White's Stuart Little and Laura Ingalls Wilder's Little House series, among many other books.Supports the Common Core State Standards"
153,Charming Billy,2.25,63,038533334X,Alice McDermott,1999,Delta,http://images.amazon.com/images/P/038533334X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038533334X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038533334X.01.LZZZZZZZ.jpg,"«Tout le monde l'aimait. Si vous l'aviez connu, vous aussi vous l'auriez aimé.»Après l'enterrement de Billy Linch, ses amis et sa famille se réunissent dans un bar du Bronx pour évoquer les bons moments passés ensemble. Ils redécouvrent le plaisir de boire un verre alors que l'alcool était devenu un vrai problème dans la vie de Billy. Sa veuve, Maeve, est là. Elle a toujours veillé sur Billy et chacun admire son courage. Mais personne ne peut évoquer Billy sans penser à cette jeune jeune Irlandaise. Car un été, à Long Island, il y a si longtemps, il est tombé éperdument amoureux de la jeune Eva. Il voulait l'épouser, elle est retournée en Irlande. Malgré sa promesse, elle n'est jamais revenue. Dennis, le cousin de Billy, n'a pas osé avouer la vérité. Il a préféré lui dire qu'elle était morte d'une pneumonie.Ce sera à la fille de Dennis de découvrir cette vérité et de révéler à chacun combien cet amour perdu les a tous liés au-delà de ce qu'is pouvaient même imaginer."
154,Chicken Soup for the Soul (Chicken Soup for the Soul),2.81,94,155874262X,Jack Canfield,1993,Health Communications,http://images.amazon.com/images/P/155874262X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155874262X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg,"Two of America's best-loved inspirational speakers share the very best of their collected stories and favorite tales that have touched the hearts of people everywhere. Canfield and Hansen bring you wit and wisdom, hope and empowerment to buoy you through life's dark moments."
155,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),2.02,57,1558744630,Jack Canfield,1997,Health Communications,http://images.amazon.com/images/P/1558744630.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744630.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744630.01.LZZZZZZZ.jpg,"This first batch of Chicken Soup for Teens consists of 101 stories every teenager can relate to and learn from -- without feeling criticized or judged. This edition contains important lessons on the nature of friendship and love, the importance of belief in the future, and the value of respect for oneself and others, and much more."
156,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),3.05,80,1558744150,Jack Canfield,1996,Health Communications,http://images.amazon.com/images/P/1558744150.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558744150.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg,"There are many ways to define a woman: daughter, mother, wife, professional, friend, student... We are each special and unique, yet we share a common connection."
157,Chocolat,2.53,141,0552998486,Joanne Harris,2000,Black Swan,http://images.amazon.com/images/P/0552998486.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg,"A timeless novel of a straitlaced village's awakening to joy and sensuality - every page offers a description of chocolate to melt in the mouths of chocoholics, francophiles, armchair gourmets, cookbook readers, and lovers of passion everywhere.Illuminating Peter Mayle's South of France with a touch of Laura Esquivel's magic realism, Chocolat is a timeless novel of a straitlaced village's awakening to joy and sensuality. In tiny Lansquenet, where nothing much has changed in a hundred years, beautiful newcomer Vianne Rocher and her exquisite chocolate shop arrive and instantly begin to play havoc with Lenten vows. Each box of luscious bonbons comes with a free gift: Vianne's uncanny perception of its buyer's private discontents and a clever, caring cure for them. Is she a witch? Soon the parish no longer cares, as it abandons itself to temptation, happiness, and a dramatic face-off between Easter solemnity and the pagan gaiety of a chocolate festival. Chocolat's every page offers a description of chocolate to melt in the mouths of chocoholics, francophiles, armchair gourmets, cookbook readers, and lovers of passion everywhere. It's a must for anyone who craves an escapist read, and is a bewitching gift for any holiday."
158,Choke,1.84,69,0385720920,CHUCK PALAHNIUK,2002,Anchor,http://images.amazon.com/images/P/0385720920.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385720920.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385720920.01.LZZZZZZZ.jpg,"Victor Mancini, a medical-school dropout, is an antihero for our deranged times.Needing to pay elder care for his mother, Victor has devised an ingenious scam: he pretends to choke on pieces of food while dining in upscale restaurants. He then allows himself to be “saved” by fellow patrons who, feeling responsible for Victor’s life, go on to send checks to support him.When he’s not pulling this stunt, Victor cruises sexual addiction recovery workshops for action, visits his addled mom, and spends his days working at a colonial theme park.His creator, Chuck Palahniuk, renowned author of classics like Fight Club, is the visionary we need and the satirist we deserve."
159,Chosen Prey,2.2,96,0425182878,John Sandford,2004,Berkley Publishing Group,http://images.amazon.com/images/P/0425182878.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425182878.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425182878.01.LZZZZZZZ.jpg,"A New York Times bestseller! Lucas Davenport returns in the most harrowing and unexpected Prey novel yet—the story of a congenial man, and his most uncongenial obsession...An art history professor and writer and cheerful pervert, James Qatar had a hobby: he took secret photographs of women and turned them into highly sexual drawings. One day, he took the hobby a step further and... well, one thing led to another, and he had to kill her. A man in his position couldn't be too careful, after all. And you know something? He liked it.Already faced with a welter of confusion in his personal life, Deputy Chief Lucas Davenport decides to take this case himself, hoping that some straightforward police work will clear his head, but as the trail begins to take some unexpected turns, it soon becomes clear that nothing is straightforward about this killer. The man is learning as he goes, Lucas realizes, taking great strides forward with each murder. He is becoming a monster — and Lucas may have no choice but to walk right into his lair..."
160,Christine,3.23,87,0451139739,Stephen King,1983,New Amer Library,http://images.amazon.com/images/P/0451139739.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451139739.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451139739.01.LZZZZZZZ.jpg,"The train taking nineteen-year-old teacher Christy Huddleston from her home in Asheville, North Carolina, might as well be transporting her to another world. The Smoky Mountain community of Cutter Gap feels suspended in time, trapped by poverty, superstitions, and century-old traditions.But as Christy struggles to find acceptance in her new home, some see her — and her one-room school — as a threat to their way of life. Her faith is challenged and her heart is torn between two strong men with conflicting views about how to care for the families of the Cove.Yearning to make a difference, will Christy’s determination and devotion be enough?"
161,Christmas Box (Christmas Box Trilogy),3.52,50,0684814994,Richard Paul Evans,1995,Simon &amp; Schuster,http://images.amazon.com/images/P/0684814994.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684814994.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684814994.01.LZZZZZZZ.jpg,"Richard Paul Evans’ bestseller The Christmas Box has become a holiday classic, a tale so touching that it continues to “tug families’ heartstrings” (USA Today). His exquisite prequel, Timepiece, and The Letter complete the glorious trilogy of the Parkin family. Now all three magical stories are compiled in one extraordinary treasury that “reaches into that place where all broken heart will forever be made whole” (The Star, Chicago).THE CHRISTMAS BOXA Christmas story unlike any other, The Christmas Box is the poignant tale of a widow and the young family who moves in with her. Together, they discover the first gift of Christmas --- and what the holiday is really all about.TIMEPIECE Tracing the lives of a young couple as they discover love, loyalty, and the power of forgiveness, Timepiece is a tale of wisdom and of hope --- and a gentle reminder that the connections from one generation to the next are indelible.THE LETTER A mysterious letter is found at the grave of a couple's only child in this unforgettable conclusion to the collection. As they face love's greatest challenge, they find its truest meaning and learn the lessons that are echoed throughout."
162,Chromosome 6,1.16,68,0425161242,Robin Cook,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425161242.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425161242.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425161242.01.LZZZZZZZ.jpg,"Behind the headlines on cloning—Dr. Robin Cook blends fact with fiction in one of his most terrifying bestsellers....Chromosome 6 is a prophetic thriller that challenges the medical ethics of genetic manipulation and cloning in the jungles of equatorial Africa, where one mistake could bridge the gap between man and ape—and forever change the genetic map of our existence...."
163,Circle of Friends,1.73,138,0440211263,Maeve Binchy,1991,Dell,http://images.amazon.com/images/P/0440211263.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440211263.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440211263.01.LZZZZZZZ.jpg,"Big, generous-hearted Benny and the elfin Eve Malone have been best friends growing up in sleepy Knockglen. Their one thought is to get to Dublin, to university and to freedom...On their first day at University College, Dublin, the inseparable pair are thrown together with fellow students Nan Mahon, beautiful but selfish, and handsome Jack Foley. But trouble is brewing for Benny and Eve's new circle of friends, and before long, they find passion, tragedy - and the independence they yearned for."
164,City of Bones,2.32,56,0446611611,Michael Connelly,2003,Warner Books,http://images.amazon.com/images/P/0446611611.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446611611.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446611611.01.LZZZZZZZ.jpg,"Excerpt from The New Book of Bon-Accord, or Guide to the City of AberdeenI shall not trouble the tourist with the enquiry, whether Aberdeen be the modern representative of the town known to the Romans as Devana, (this idea, I think is fairly negatived by Rev. Mr. Michie in his Loch nor endeavour to decide which of the many derivations offered by etymologists for the name of our good city is the correct one. With authentic documents, giving it an antiquity sufficient to satisfy any moderate desires, it would be useless to venture upon the tender ground of tradition or fable.About the PublisherForgotten Books publishes hundreds of thousands of rare and classic books. Find more at www.forgottenbooks.comThis book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works."
165,Clear and Present Danger,1.68,50,0425144372,Tom Clancy,1994,Berkley Publishing Group,http://images.amazon.com/images/P/0425144372.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425144372.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425144372.01.LZZZZZZZ.jpg,"Colombian drug lords, bored with Uncle Sam's hectoring, assassinate the head of the FBI. The message is clear: Bug off!At what point do these druggies threaten national security? When can a nation act against its enemies? These are questions Jack Ryan must answer because someone has quietly stepped over the line.Does anyone know who the real enemy is? How much action is too much? Which lines have been crossed? Ryan and his ""dark side"", a shadowy field officer known only as Mr. Clark, are charged with finding out. They expect danger from without... but the danger from within may be the greatest of all."
166,Clear and Present Danger (Jack Ryan Novels),1.53,70,0425122123,Tom Clancy,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425122123.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425122123.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425122123.01.LZZZZZZZ.jpg,"Colombian drug lords, bored with Uncle Sam's hectoring, assassinate the head of the FBI. The message is clear: Bug off!At what point do these druggies threaten national security? When can a nation act against its enemies? These are questions Jack Ryan must answer because someone has quietly stepped over the line.Does anyone know who the real enemy is? How much action is too much? Which lines have been crossed? Ryan and his ""dark side"", a shadowy field officer known only as Mr. Clark, are charged with finding out. They expect danger from without... but the danger from within may be the greatest of all."
167,Cloud Nine,1.7,50,055358099X,Luanne Rice,2000,Bantam Books,http://images.amazon.com/images/P/055358099X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055358099X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055358099X.01.LZZZZZZZ.jpg,"Sarah Talbot surely thought she'd never live to see another birthday. But against all odds, she beat the disease that threatened to take her life and she reopened her bedding shop, Cloud Nine. It is a new beginning for Sarah --- a fresh start at life that few are given. And Sarah is determined to take advantage of her newfound opportunity. On her first adventure --- a ride in a small chartered plane --- comes a chance meeting with a man who will change the course of her life.These two fellow travelers find each other a kindred spirit and a bond that will give them the courage to confront the past and have faith in the future ... no matter how uncertain."
168,Coast Road: A Novel,1.24,58,0671027662,Barbara Delinsky,1999,Pocket Books,http://images.amazon.com/images/P/0671027662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671027662.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671027662.01.LZZZZZZZ.jpg,"Life's greatest gifts come to us by accident. Barbara Delinsky has always had a gift for creating tales of extraordinary emotional power and depth. Now the New York Times bestselling author of Three Wishes surpasses herself once again in a novel that takes readers on a journey as richly textured, colorful, and poignant as the northern California landscape in which the book is set. Rachel Keats and Jack McGill were artists, deeply in love when they married, until the rush of life took its toll. After ten years of marriage, they divorced and went their separate ways. Jack stayed in San Francisco. Rachel moved with their two young daughters to Big Sur. Six years later, an alarming middle-of-the-night phone call demands that Jack put aside his own busy life and career as a leading architect to rush to his ex-wife's hospital bed. While she lies comatose, Jack maintains a bedside vigil and finds himself getting to know Rachel better than he ever did -- through their daughters, her friends, and, even more, through her art. Meanwhile, the beauty and grace of the Redwood canyon where she has made her home also work their own special alchemy upon Jack. He begins to see Rachel, his daughters, and the story of his marriage with new eyes. Coast Road celebrates those things in life that matter most -- the kinship of neighbors, the companionship of friends, and the irreplaceable time spent with children and family. Barbara Delinsky depicts with exquisite accuracy the ties that bind each of us to those people and places we hold most dear."
169,Cold Fire,1.91,57,0425130711,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425130711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425130711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425130711.01.LZZZZZZZ.jpg,"In Portland, he saved a young boy from a drunk driver. In Boston, he rescued a child from an underground explosion. In Houston, he disarmed a man who was trying to shoot his own wife. Reporter Holly Thorne was intrigued by this strange quiet savior named Jim Ironheart. She was even falling in love with him. But what power compelled an ordinary man to save twelve lives in three months? What visions haunted his dreams? And why did he whisper in his sleep: There is an Enemy. It is coming. It’ll kill us all…? Includes an afterword by the author"
170,Cold Mountain,2.0,69,0871136791,Charles Frazier,1997,Atlantic Monthly Press,http://images.amazon.com/images/P/0871136791.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0871136791.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0871136791.01.LZZZZZZZ.jpg,"Cold Mountain is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.Based on local history & family stories passed down by Frazier’s great-great-grandfather, Cold Mountain is the tale of a wounded Confederate soldier, Inman, who walks away from the ravages of the war & back home to his prewar sweetheart, Ada. His odyssey thru the devastated landscape of the soon-to-be-defeated South interweaves with Ada’s struggle to revive her father’s farm, with the help of an intrepid young drifter named Ruby. As their long-separated lives begin to converge at the close of the war, Inman & Ada confront the vastly transformed world they’ve been delivered.Frazier reveals insight into human relations with the land & the dangers of solitude. He also shares with the great 19th century novelists a keen observation of a society undergoing change. Cold Mountain recreates a world gone by that speaks to our time."
171,Cold Mountain : A Novel,1.87,126,0375700757,CHARLES FRAZIER,1998,Vintage,http://images.amazon.com/images/P/0375700757.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375700757.01.LZZZZZZZ.jpg,"Cold Mountain is a novel about a soldier’s perilous journey back to his beloved near the Civil War's end. At once a love story & a harrowing account of one man’s long walk home, Cold Mountain introduces a new talent in American literature.Based on local history & family stories passed down by Frazier’s great-great-grandfather, Cold Mountain is the tale of a wounded Confederate soldier, Inman, who walks away from the ravages of the war & back home to his prewar sweetheart, Ada. His odyssey thru the devastated landscape of the soon-to-be-defeated South interweaves with Ada’s struggle to revive her father’s farm, with the help of an intrepid young drifter named Ruby. As their long-separated lives begin to converge at the close of the war, Inman & Ada confront the vastly transformed world they’ve been delivered.Frazier reveals insight into human relations with the land & the dangers of solitude. He also shares with the great 19th century novelists a keen observation of a society undergoing change. Cold Mountain recreates a world gone by that speaks to our time."
172,Cold Sassy Tree,2.03,117,038531258X,Olive Ann Burns,1986,Delta,http://images.amazon.com/images/P/038531258X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/038531258X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/038531258X.01.LZZZZZZZ.jpg,"The one thing you can depend on in Cold Sassy, Georgia, is that word gets around--fast.On July 5, 1906, scandal breaks in the small town of Cold Sassy, Georgia, when the proprietor of the general store, E. Rucker Blakeslee, elopes with Miss Love Simpson. He is barely three weeks a widower, and she is only half his age and a Yankee to boot. As their marriage inspires a whirlwind of local gossip, fourteen-year-old Will Tweedy suddenly finds himself eyewitness to a family scandal, and that’s where his adventures begin.Cold Sassy Tree is the undeniably entertaining and extraordinarily moving account of small-town Southern life in a bygone era. Brimming with characters who are wise and loony, unimpeachably pious and deliciously irreverent, Olive Ann Burns’s classic bestseller is a timeless, funny, and resplendent treasure."
173,Colony,1.19,58,0061099708,Anne Rivers Siddons,1993,HarperTorch,http://images.amazon.com/images/P/0061099708.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061099708.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061099708.01.LZZZZZZZ.jpg,"In 1979, as violence erupts all over Ireland, two outsiders travel to a small island off the west coast in search of their own answers, despite what it may cost the islanders. It is the summer of 1979. An English painter travels to a small island off the west coast of Ireland. Mr. Lloyd takes the last leg by currach, though boats with engines are available and he doesn't much like the sea. He wants the authentic experience, to be changed by this place, to let its quiet and light fill him, give him room to create. He doesn't know that a Frenchman follows close behind. Jean-Pierre Masson has visited the island for many years, studying the language of those who make it their home. He is fiercely protective of their isolation, deems it essential to exploring his theories of language preservation and identity.But the people who live on this rock--three miles long and half a mile wide--have their own views on what is being recorded, what is being taken, and what ought to be given in return. Over the summer, each of them--from great-grandmother Bean Uí Fhloinn to widowed Mairéad to fifteen-year-old James, who is determined to avoid the life of a fisherman--will wrestle with their values and desires. Meanwhile, all over Ireland, violence is erupting. And there is blame enough to go around.An expertly woven portrait of character and place, a stirring investigation into yearning to find one's way, and an unflinchingly political critique of the long, seething cost of imperialism, Audrey Magee's The Colony is a novel that transports, that celebrates beauty and connection, and that reckons with the inevitable ruptures of independence."
174,Coming Home,1.92,66,0312958129,Rosamunde Pilcher,1996,St. Martin's Press,http://images.amazon.com/images/P/0312958129.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312958129.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312958129.01.LZZZZZZZ.jpg,"Against the backdrop of an elegant Cornwall mansion before World War II and a vast continent-spanning canvas during the turbulent war years, this involving story tells of an extraordinary young woman's coming of age, coming to grips with love and sadness, and in every sense of the term, coming home...In 1935, Judith Dunbar is left behind at a British boarding school when her mother and baby sister go off to join her father in Singapore. At Saint Ursula's, her friendship with Loveday Carey-Lewis sweeps her into the privileged, madcap world of the British aristocracy, teaching her about values, friendship, and wealth. But it will be the drama of war, as it wrenches Judith from those she cares about most, that will teach her about courage...and about love.Teeming with marvelous, memorable characters in a novel that is a true masterpiece, Coming Home is a book to be savored, reread, and cherished forever."
175,Confessions of a Shopaholic (Summer Display Opportunity),2.78,167,0385335482,SOPHIE KINSELLA,2001,Delta,http://images.amazon.com/images/P/0385335482.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg,"Becky has a fabulous flat in London's trendiest neighborhood, a troupe of glamorous socialite friends, and a closet brimming with the season's must-haves. The only trouble is that she can't actually afford it–not any of it.Her job writing at Successful Savings not only bores her to tears, it doesn't pay much at all. And lately Becky's been chased by dismal letters from the bank –letters with large red sums she can't bear to read–and they're getting ever harder to ignore.She tries cutting back. But none of her efforts succeeds. Becky's only consolation is to buy herself something ... just a little something....Finally a story arises that Becky actually cares about, and her front-page article catalyzes a chain of events that will transform her life–and the lives of those around her–forever."
176,Confessions of an Ugly Stepsister : A Novel,2.43,117,0060987529,Gregory Maguire,2000,Regan Books,http://images.amazon.com/images/P/0060987529.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987529.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987529.01.LZZZZZZZ.jpg,"We have all heard the story of Cinderella, the beautiful child cast out to slave among the ashes. But what of her stepsisters, the homely pair exiled into ignominy by the fame of their lovely sibling? What fate befell those untouched by beauty ... and what curses accompanied Cinderella's looks?Set against the backdrop of seventeenth-century Holland, Confessions of an Ugly Stepsister tells the story of Iris, an unlikely heroine who finds herself swept from the lowly streets of Haarlem to a strange world of wealth, artifice, and ambition. Iris's path quickly becomes intertwined with that of Clara, the mysterious and unnaturally beautiful girl destined to become her sister. While Clara retreats to the cinders of the family hearth, Iris seeks out the shadowy secrets of her new household -- and the treacherous truth of her former life."
